species,common_name
Mus musculus,Mouse
Drosophila kikkawai,Fruit fly
Anopheles stephensi,Malaria mosquito
Mytilina brevispina,Rotifer
Drosophila bipectinata,Fruit fly
Musca Domestica,Housefly
Canis lupus familiaris,Dog
Ceriodaphnia affinis,Flea
Apis mellifera,Bee
Drosophila,Fruit fly
Rattus norvegicus,Rat
Anastrepha ludens,Fruit fly
Mesocricetus auratus,Hamster
Asplanchna brightwelli,Rotifer
Philodina,Rotifer
Daphnia pulex clone TCO,Flea
Tribolium castaneum,Beetle
Drosophila melanogaster,Fruit fly
Nothobranchius furzeri,Killifish
Aeolosoma viride,Worm
Drosophila mojavensis,Fruit fly
Aedes albopictus,Mosquito
Brachionus manjavacas,Rotifer
Paramecium tetraurelia,Ciliate
Aedes aegypti,Mosquito
Bombyx mori,Silkworm
Musca domestica,Housefly
Saccharomyces cerevisiae,Yeast
Nothobranchius guentheri,Killifish
Drosophila virilis,Fruit fly
Philodina acuticornis,Rotifer
Acheta domesticus,Cricket
Caenorhabditis tropicalis,Roundworm
Caenorhabditis briggsae,Roundworm
Caenorhabditis elegans,Roundworm
Zaprionus paravittiger,Fruit fly
Podospora anserina,Fungus
Adineta vaga,Rotifer
